Bukit Timah Market & Food Centre,1.339478,103.7761382
Toilet @ Bukit Timah Market & Food Centre,1.33939,103.7760859
Toilet @ Bukit Timah Railway station,1.335646,103.7813391
Water cooler @ Bukit Timah Railway station,1.3354905,103.7813874
Star Mart,1.3177631,103.7854492
Toilet @ Caltex Holland Rd,1.3176726,103.7854492
Cold Storage Jelita,1.3177543,103.7859492
7-Eleven @ Sixth Ave,1.3311169,103.7951551
ESSO BUKIT TIMAH,1.3300218,103.7989997
Toilet @ Esso Bukit Timah,1.3300325,103.7992066
Esso Holland Road,1.312505,103.7961337
Toilet @ Esso Holland Rd,1.3125479,103.7962075
Giant Express Ghim Moh,1.3101845,103.7880986
Sheng Siong Supermarket Ghim Moh Link,1.3080897,103.7859979
小厨小酌 (Xiao Chu Xiao Zhuo),1.3082959,103.7866775
Toilet @ Ghim Moh Link,1.3083844,103.7866143
FairPrice Ghim Moh Link,1.3085565,103.7847552
Kopitiam Corner @ Ghim Moh Edge,1.3084162,103.784473
Toilet @ Kopitiam Corner @ Ghim Moh Edge,1.308437,103.7844703
7-Eleven @ Dover MRT station,1.3114696,103.7785027
Toilet @ Dover MRT station,1.3115084,103.7784872
Cheers convenience store @ CREATE Building,1.3036455,103.7739185
Toilet @ Clementi Woods Park,1.3029987,103.7668061
Burger King West Coast CC,1.303049,103.7649629
New Choy Lam Eating House,1.303875,103.7645486
Sheng Siong Supermarket @ 720 Clementi West St 2,1.3023852,103.7637463
McDonald's West Coast Park,1.2975443,103.7633584
Toilet @ West Coast Park,1.2919943,103.7661557
7-Eleven @ Clementi Rd,1.292565,103.768391
Toilet,1.2971466,103.7809062
Vending machines beside bus stop in NUS,1.2973035,103.780984
Toilet & Water Cooler @ Kent Ridge Park,1.2835188,103.7910552
7-Eleven @ Alexandra Retail Centre,1.27416,103.8016048
McDonald's @ Alexandra Rd,1.2745172,103.8015362
Toilet & Water cooler @ Labrador Park,1.2640502,103.8056237
SPC Telok Blangah,1.2718038,103.8070883
Toilet & Water Cooler @ Telok Blangah Hill Park,1.278131,103.813403
Vending machine,1.2770702,103.8145848
Shell Select convenience store & toilet,1.2704565,103.8127722
Toilet @ Shell Telok Blangah Rd,1.2704997,103.8127552
Mount Faber Toilet,1.2728442,103.8187576
Water cooler @ Mt Faber Rd,1.2701582,103.821637
McDonald's People's Park,1.2843363,103.8423916
Chinatown Point,1.2849465,103.8446422
Lau Pa Sat,1.2805121,103.8503809
Toilet & Water Cooler @ Marina Barrage,1.2802475,103.8710019
Satay by the Bay,1.2821346,103.8688728
